nearest_facility_id,nearest_facility_type,acq_date,daily_detections,daily_total_frp_mw,daily_max_frp_mw
L100000102149,coal_power,2025-12-18,2,6.130000000000001,3.45
L100000102149,coal_power,2025-12-19,1,2.5,2.5
L100000102149,coal_power,2025-12-20,1,1.51,1.51
L100000102149,coal_power,2025-12-21,2,2.55,1.51
L100000102149,coal_power,2025-12-22,3,5.6499999999999995,2.32
L100000102149,coal_power,2025-12-23,1,2.57,2.57
L100000102149,coal_power,2025-12-24,1,1.66,1.66
L100000102149,coal_power,2025-12-25,1,1.06,1.06
L100000102149,coal_power,2025-12-26,1,2.32,2.32
L100000102149,coal_power,2025-12-27,1,2.11,2.11
L100000102149,coal_power,2025-12-28,1,1.78,1.78
L100000102149,coal_power,2025-12-29,1,0.9,0.9
L100000102149,coal_power,2025-12-30,1,1.59,1.59
L100000102151,coal_power,2025-01-01,2,1.66,0.83
L100000102151,coal_power,2025-01-02,1,1.03,1.03
L100000102151,coal_power,2025-01-03,1,0.75,0.75
L100000102151,coal_power,2025-01-04,1,2.83,2.83
L100000102151,coal_power,2025-01-06,2,2.23,1.2
L100000102151,coal_power,2025-01-07,1,1.47,1.47
L100000102151,coal_power,2025-01-08,3,3.46,1.24
L100000102151,coal_power,2025-01-09,1,4.09,4.09
L100000102151,coal_power,2025-01-11,1,1.61,1.61
L100000102151,coal_power,2025-01-12,2,2.22,1.62
