nearest_facility_id,nearest_facility_type,month,detections,active_days,mean_frp_mw,max_frp_mw
L100000102576,coal_power,6,2,2,4.8100000000000005,6.87
L100000102582,coal_power,6,5,2,7.368,9.33
L100000102583,coal_power,6,2,1,3.4899999999999998,5.27
L100000102587,coal_power,5,1,1,4.86,4.86
L100000102587,coal_power,7,2,1,2.49,2.49
L100000102587,coal_power,8,4,2,4.525,7.64
L100000102592,coal_power,12,1,1,2.69,2.69
L100000102593,coal_power,2,1,1,4.01,4.01
L100000102594,coal_power,2,2,1,5.965,6.87
L100000102594,coal_power,12,1,1,1.49,1.49
L100000102595,coal_power,4,2,1,1.275,1.97
L100000102600,coal_power,12,1,1,0.44,0.44
L100000102607,coal_power,12,1,1,3.58,3.58
